,월,일,실거래금액
278,10,6,58134665
279,10,7,70691784
280,10,8,44650550
281,10,9,74103199
282,10,10,79763380
283,10,11,37184653
284,10,12,37443025
285,10,13,40701889
286,10,14,52021372
287,10,15,29021400
288,10,16,37615850
289,10,17,61923600
290,10,18,50455588
291,10,19,48876568
292,10,20,59181915
293,10,21,59183948
294,10,22,48204330
295,10,23,117419050
296,10,24,51689564
297,10,25,61144691
298,10,26,53340756
299,10,27,55855208
300,10,28,53864753
301,10,29,42433300
302,10,30,60678030
303,10,31,181476503
304,11,1,40140938
305,11,2,49808112
306,11,3,39302630
307,11,4,36117394
308,11,5,34181200
309,11,6,49693600
310,11,7,52360194
311,11,8,51342206
312,11,9,64452387
313,11,10,74432681
314,11,11,68355914
315,11,12,53514400
316,11,13,133983540
317,11,14,37258549
318,11,15,48982376
319,11,16,44847694
320,11,17,39186810
321,11,18,50140716
322,11,19,30904699
323,11,20,51124000
324,11,21,52746457
325,11,22,49953108
326,11,23,55579094
327,11,24,56846228
328,11,25,62843414
329,11,26,53501700
330,11,27,109289900
331,11,28,66859144
332,11,29,96152233
333,11,30,158965022
334,12,1,38327697
335,12,2,42866103
336,12,3,30375950
337,12,4,38887150
338,12,5,69484328
339,12,6,53517841
340,12,7,73457802
341,12,8,72276325
342,12,9,85905482
343,12,10,55501850
344,12,11,158251000
345,12,12,33831842
346,12,13,59066080
347,12,14,50875144
348,12,15,54022695
349,12,16,57085932
350,12,17,42842200
351,12,18,100729340
352,12,19,44283976
353,12,20,67436220
354,12,21,143412191
355,12,22,63634922
356,12,23,62514580
357,12,24,51448300
358,12,25,101982750
359,12,26,56394553
360,12,27,62969186
361,12,28,62923705
362,12,29,129341157
363,12,30,79954108
364,12,31,166143240
